Date,Daily_Cases,Recoveries,Deaths,Current_ICU___Active,Non_ICU_Hospitalizations___Acti,Active_Cases__not_hospitalized_,Positivity_Rate,Daily_Tests,First_Doses,Second_Doses,Cumulative_First_Doses,Cumulative_Second_Doses,Response_Level,Unemployment_Rate,Gatherings,Care_Facilities,K-12_Schools,Child_Care_Facilities,Retail/Personal_Service/Restaurants/Beverage_Rooms,Recreation_Facilities,Theatres/Casinos,Indoor_Mask_Mandate,MB_Travel_Quarantine,Total_Non_Resident_Travellers (Monthly),Total_CAN_Travellers_Returning_Abroad (Monthly),Daily_Alpha_%_Of_Total_Variant,Daily_Beta_%_Of_Total,Gamma %,Uncategorized %,Kappa %,Delta %
2021-05-20 - 2021-05-26,386,389.2857143,2.857142857,54.57142857,184,3634.285714,13.77142857,3204.714286,12725.57143,1804.857143,49.09285714,7.408571429,39,7.2,46,50,54,58,62,66,69,72,74,2646,4879,38.628,0.118,1.368,59.886,0,0
2021-05-27 - 2021-06-02,324.7142857,345.4285714,4.285714286,53,187,3430.571429,12,2962.142857,8976,4404,54.71857143,9.077142857,39,7.314285714,46,50,54,58,62,66,69,72,74,2436.285714,4979,55.894,0.258,1.072,42.776,0,0
2021-06-03 - 2021-06-09,245.5714286,314.8571429,3.571428571,48.42857143,181,3093.571429,11.67142857,2337.714286,7515.571429,6419.714286,58.79714286,11.88857143,39,7.6,46,50,54,58,62,66,69,72,74,1912,5229,-9.2,0.1675,3.635,100.225,2.8,2.38
2021-06-10 - 2021-06-16,180.5714286,298.8571429,3.285714286,43.28571429,145.7142857,2411.428571,10.31428571,2051,4279,11290.28571,61.65571429,16.40571429,39,7.6,46,50,54,58,62,66,69,72,75,1912,5229,46.198,0.534,3.098,47.508,0.298,2.366
2021-06-17 - 2021-06-23,111,193.5714286,2.142857143,38.85714286,99.57142857,1677.714286,7.671428571,1795.428571,2429.428571,17438.85714,63.14571429,23.53,39,7.6,46,50,54,58,62,66,69,72,75,1912,5229,48.484,2.928,4.462,33.086,0.088,10.954
2021-06-24 - 2021-06-30,78.71428571,151.2857143,1.714285714,30.71428571,70.42857143,1249.571429,6.2,1486.428571,3558,23943,64.65571429,34.80285714,38,7.6,45,49,43,57,60,65,69,72,75,1912,5229,62.696,0.9,0.644,23.92,0,11.838
2021-07-01 - 2021-07-07,58.28571429,64.14285714,1.285714286,22,58.28571429,919,5.771428571,1276.714286,2569.714286,15989.42857,66.24285714,44.89428571,38,6.1,45,49,53,57,60,65,69,72,75,2155,4429,51.62,0.1425,1.5775,25.2125,0,21.4475
2021-07-08 - 2021-07-14,51.57142857,51.57142857,0.571428571,16.28571429,48.85714286,947.5714286,4.542857143,1417.857143,2116.857143,8981.285714,67.44714286,50.93571429,38,6.1,45,49,53,57,60,65,69,72,75,2155,4429,34.206,0,4.864,51.71,0,9.218
2021-07-15 - 2021-07-21,42,102.5714286,1,13.14285714,36.28571429,864.7142857,3.385714286,1436.857143,1820.428571,7101.428571,68.47142857,54.96571429,38,6.1,45,49,53,57,60,65,69,72,75,2155,4429,-7.672,0,0.39,78.638,0,28.648
2021-07-22 - 2021-07-28,34,34.42857143,0.857142857,10.57142857,32.28571429,525.5714286,2.828571429,1464.142857,1996.571429,8360.714286,69.38857143,58.70714286,38,6.1,45,49,53,57,60,65,69,72,75,2155,4429,7.072,0,0,79.99,0,12.936
2021-07-29 - 2021-08-01,31,28,1.333333333,10.66666667,31,526.6666667,2.4,1428.333333,2172.333333,9832.333333,70.14666667,61.9,38,6.1,45,49,53,57,60,65,69,72,75,2155,4429,32.525,0,0,56.44,0,11.035
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
